Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2008","2008","tonnes","46205000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2009","2009","Head","614400000","*","Unofficial figure",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2009","2009","hg/An","796","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2009","2009","tonnes","48907600","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2010","2010","Head","666864000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2010","2010","hg/An","760","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2010","2010","tonnes","50712400","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2011","2011","Head","663620990","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2011","2011","hg/An","763","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2011","2011","tonnes","50604000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2012","2012","Head","697894980","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2012","2012","hg/An","766","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2012","2012","tonnes","53427000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2013","2013","Head","715569980","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2013","2013","hg/An","768","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2013","2013","tonnes","54930300","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2014","2014","Head","735104000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2014","2014","hg/An","772","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2014","2014","tonnes","56713900","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2015","2015","Head","724156000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2015","2015","hg/An","780","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2015","2015","tonnes","56454000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2016","2016","Head","700739000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2016","2016","hg/An","774","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2016","2016","tonnes","54255000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2017","2017","Head","702021000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2017","2017","hg/An","777","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2017","2017","tonnes","54518000","","Official data",""
"QL","Livestock Primary","41","China, mainland","5320","Producing Animals/Slaughtered","1035","Meat, pig","2018","2018","Head","684960476","Im","FAO data based on imputation methodology",""
"QL","Livestock Primary","41","China, mainland","5417","Yield/Carcass Weight","1035","Meat, pig","2018","2018","hg/An","789","Fc","Calculated data",""
"QL","Livestock Primary","41","China, mainland","5510","Production","1035","Meat, pig","2018","2018","tonnes","54037400","","Official data",""
